"uuid","key","media_type","value","created_timestamp","last_updated_timestamp","image","image_uuid","column1","id","mediatype","createdtimestamp","lastupdatedtimestamp"
d673112b-108d-4cde-977b-0f082e901c53,source,,MBARI/VARS,,,"","0a206575-9a77-483e-85e8-ae89260080f0",52,"",text/plain,"",""
e58b362a-cb3e-4ec2-9dde-7a8201fad5bc,source,,MBARI/VARS,,,"","0aecb028-7333-4388-b7ca-d113bf609c6e",54,"",text/plain,"",""
"6dcc55e1-76f3-4ce2-9db9-3f406dcc2f36",source,,MBARI/VARS,,,"","0b76617a-7ce4-4eb8-95dc-67a89579d413",55,"",text/plain,"",""
"45fc65a3-fd06-4f1e-bd91-a9bf4a21eb79",source,,MBARI/VARS,,,"","0ba38084-ea84-487f-8676-cad7f9242723",57,"",text/plain,"",""
be2f4dce-d693-42ca-9a8a-c4be6bdf5514,source,,MBARI/VARS,,,"","0bdf910b-fc36-4dd9-9e10-ebeedcceb401",58,"",text/plain,"",""
b0d1a2a7-4e28-4726-b901-8b58eb1326eb,source,,MBARI/VARS,,,"","0be482d6-4422-4637-a2b6-eac58ca1d98f",59,"",text/plain,"",""
"3dce5af1-a463-4a97-8dd7-f92fbf582bcc",source,,MBARI/VARS,,,"","0bee63e8-c85d-443a-a008-6b548d9726ab",60,"",text/plain,"",""
"25a5d0ee-556a-4e6f-b2fe-bd98d7a036ab",source,,MBARI/VARS,,,"","0c65ba93-de07-4563-bc89-616758aa0370",62,"",text/plain,"",""
"45f1a433-3b92-4fcb-8046-2910fd6126a2",source,,MBARI/VARS,,,"","0cb1dcf4-29db-4214-ad98-5bd6b7f0b756",63,"",text/plain,"",""
e405bfb7-1280-4155-8ef5-7403b8e3f975,source,,MBARI/VARS,,,"","0e22de90-84e2-49e7-9b05-277cec2d454c",67,"",text/plain,"",""
"76b16bd8-8ce9-4e5f-a871-b4a4dcf69cae",source,,MBARI/VARS,,,"","0e68fa96-649a-4c64-937c-90810562f4e9",69,"",text/plain,"",""
"951348a1-c191-44b9-97c0-c1be75efc884",source,,MBARI/VARS,,,"","0ecadc3c-4ca3-4614-9bde-cfc993d3c3c3",70,"",text/plain,"",""
e2f14222-cf4f-4987-9e2e-2b8c4aae9e71,source,,MBARI/VARS,,,"","0eebe93c-ff60-461e-a859-a10bd14280cf",71,"",text/plain,"",""
e323125d-e8f0-4307-93a1-c8496b36ca14,source,,MBARI/VARS,,,"","0f001c7d-2931-48f8-8420-50d3a6d9a003",72,"",text/plain,"",""
"616df53f-6747-4d5e-9031-91bc122a6d35",source,,MBARI/VARS,,,"","0f7366ab-3529-42ba-821b-81a5e9210bf8",73,"",text/plain,"",""
"70e6b0b2-843b-4c9b-8b73-f68070db2e3d",source,,MBARI/VARS,,,"","0f957aef-597f-43c3-bc08-1dc2d0910c8b",74,"",text/plain,"",""
"1dcb8dce-be10-48a6-8d14-10eca82a7566",source,,MBARI/VARS,,,"","0f9ea7fa-330d-4300-843a-409c3d9ea173",75,"",text/plain,"",""
"33295a63-d7fe-4a99-984b-61d079f17f96",source,,MBARI/VARS,,,"","0fbe3f12-1b10-448e-b3cc-1654d6d5b399",76,"",text/plain,"",""
